name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chicago,2023-01-01,6.8,2.9,5.1,5.1,0,3.4,3.4,89.1,2.938,100,12.5,rain,0,0,22.3,14,228.4,1014,93.7,8,22.8,2,1,10,2023-01-01T07:18:22,2023-01-01T16:30:02,0.32,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2023-01-02,6.2,0,3.4,4.2,-0.3,1.5,1.8,90,0,0,0,,0,0,31.7,19.3,49.5,1017.2,86,7.4,26.5,2.2,1,10,2023-01-02T07:18:26,2023-01-02T16:30:54,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2023-01-03,8.1,4.1,6.1,7.3,0.3,4.1,5.4,95.4,24.194,100,54.17,rain,0,0,37.1,21.7,36.5,1004.3,99.6,3.1,9.7,0.8,1,10,2023-01-03T07:18:29,2023-01-03T16:31:48,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2023-01-04,7.3,0.8,2.8,5.2,-3.7,-0.7,0.2,82.7,0.208,100,4.17,"rain,snow",0,0,34.4,20.3,235.2,1006.9,89.6,13.7,8.5,0.6,0,10,2023-01-04T07:18:29,2023-01-04T16:32:44,0.42,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2023-01-05,1.2,0,0.6,-2,-5.2,-3.7,-2.2,81.5,0.1,100,8.33,"rain,snow",1.9,0,35.3,20,242.6,1012.3,99.7,11.2,18.9,1.5,1,10,2023-01-05T07:18:26,2023-01-05T16:33:41,0.46,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2023-01-06,0.9,-3.3,-1.5,-2.5,-8.2,-5.3,-4.7,78.9,0.036,100,4.17,"rain,snow",0.3,0,29.5,21,264.1,1021.5,99.6,14.7,10.4,0.7,0,10,2023-01-06T07:18:21,2023-01-06T16:34:39,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"72534014819,KORD,KMDW,72530094846,F1983,F7086,KPWK,74466504838"
chicago,2023-01-07,0.3,-2.5,-1,-0.8,-6.5,-4.1,-5,74.3,0,0,0,,0,0,27.7,15.1,357,1028.9,98.8,15.4,20,1.7,1,10,2023-01-07T07:18:14,2023-01-07T16:35:39,0.53,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2023-01-08,0.8,-3.2,-0.9,0.8,-8.5,-3.9,-4.9,74.7,0,0,0,,0,0,13,16.9,281.9,1025,96.5,15.4,26.3,2.2,1,10,2023-01-08T07:18:05,2023-01-08T16:36:40,0.56,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2023-01-09,6.6,-3.8,1.2,3.5,-8.3,-2.8,-2.7,75.9,0,0,0,,0,0,37.1,21.8,215.5,1019.9,60.3,13.2,55.4,4.9,3,10,2023-01-09T07:17:53,2023-01-09T16:37:43,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2023-01-10,9.5,2,5.2,8,0,3.3,0.6,73,0,0,0,,0,0,31.3,17.3,193.5,1012.1,59.2,15.1,55.2,4.8,3,10,2023-01-10T07:17:39,2023-01-10T16:38:46,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2023-01-11,11.7,3.5,7.1,11.7,1,6,3.2,76.9,0,0,0,,0,0,14.8,12.7,158.2,1009.6,93.5,14,35.8,3,2,10,2023-01-11T07:17:22,2023-01-11T16:39:51,0.66,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2023-01-12,6.4,2.9,3.4,5.4,-3.1,-1.2,-0.1,78.1,0,0,0,,0,0,53.6,34.6,357.4,1014.5,99,12.2,11.3,1,1,10,2023-01-12T07:17:04,2023-01-12T16:40:57,0.69,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2023-01-13,1.9,-2.9,-0.7,-3.2,-8.2,-6.7,-5.2,71.3,0.213,100,12.5,"rain,snow",1.1,0,51.5,34,346.1,1024,100,15.2,13.7,1.2,1,10,2023-01-13T07:16:43,2023-01-13T16:42:05,0.73,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2023-01-14,-0.6,-4.1,-2.7,-3.8,-7.9,-6.5,-7.5,69.9,0,0,0,snow,0,0,33.5,15.6,227,1025.8,89.1,16,60.4,5.1,4,10,2023-01-14T07:16:19,2023-01-14T16:43:13,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2023-01-15,5.9,-3.2,1.3,1.9,-8.4,-3.3,-5.2,63.3,0,0,0,"rain,snow",0,0,50.7,27.9,166.9,1019,79.9,16,52.2,4.6,3,10,2023-01-15T07:15:54,2023-01-15T16:44:22,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2023-01-16,11,4.4,6.8,11,-0.1,3.4,1.2,70.2,4.178,100,25,rain,0,0,50,27.7,171.7,1005.1,98.4,13.2,8.5,0.7,1,10,2023-01-16T07:15:26,2023-01-16T16:45:32,0.83,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2023-01-17,10.1,3,4.9,10.1,-1.6,0.5,1.5,78.8,0,0,0,rain,0,0,58.8,34.7,258.6,1003.2,97.7,15.2,10.8,0.8,1,10,2023-01-17T07:14:56,2023-01-17T16:46:43,0.86,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2023-01-18,4,2.3,3.2,3.5,-3,-0.5,-0.7,75.9,5.639,100,20.83,rain,0,0,57.6,37,61.9,1013.8,99.9,15.2,24.3,2.1,1,10,2023-01-18T07:14:23,2023-01-18T16:47:54,0.9,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2023-01-19,5.5,1.8,3.6,3.9,-3.5,-0.1,2.2,90.7,3.469,100,50,"rain,snow",0,0,56.5,29.4,238.7,1001.2,100,9.2,10.5,0.9,0,10,2023-01-19T07:13:49,2023-01-19T16:49:07,0.93,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2023-01-20,1.8,-0.7,0.5,-3.2,-5.9,-4.4,-3.7,73.5,0,0,0,,0,0,43.1,25.5,290,1018.1,100,15.7,10.5,0.9,0,10,2023-01-20T07:13:12,2023-01-20T16:50:20,0.96,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2023-01-21,-0.5,-2,-1.1,-3.3,-7,-5.3,-4.8,76,0,0,0,,0,0,20.5,18.3,229.2,1022,100,16,24.1,2.1,1,10,2023-01-21T07:12:34,2023-01-21T16:51:33,0,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2023-01-22,1.2,-1.5,-0.2,0.1,-6.4,-2.8,-2.5,84.7,1.111,100,54.17,"rain,snow",2.5,0.3,25.9,16.5,346.7,1013.4,99.9,8.5,16.3,1.4,1,10,2023-01-22T07:11:53,2023-01-22T16:52:48,0.03,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
